region,date,voc,total
Canada,2021-05-31,delta,681
Alberta,2021-06-07,alpha,43943
British Columbia,2021-06-07,alpha,9292
Manitoba,2021-06-07,alpha,5207
New Brunswick,2021-06-07,alpha,180
Newfoundland and Labrador,2021-06-07,alpha,187
Northwest Territories,2021-06-07,alpha,26
Nova Scotia,2021-06-07,alpha,73
Nunavut,2021-06-07,alpha,21
Ontario,2021-06-07,alpha,131991
Prince Edward Island,2021-06-07,alpha,26
Quebec,2021-06-07,alpha,6621
Saskatchewan,2021-06-07,alpha,5753
Yukon,2021-06-07,alpha,2
Canada,2021-06-07,alpha,203322
Alberta,2021-06-07,beta,149
British Columbia,2021-06-07,beta,133
Manitoba,2021-06-07,beta,35
New Brunswick,2021-06-07,beta,4
Newfoundland and Labrador,2021-06-07,beta,6
Northwest Territories,2021-06-07,beta,0
Nova Scotia,2021-06-07,beta,12
Nunavut,2021-06-07,beta,0
Ontario,2021-06-07,beta,1076
Prince Edward Island,2021-06-07,beta,0
Quebec,2021-06-07,beta,386
Saskatchewan,2021-06-07,beta,10
Yukon,2021-06-07,beta,0
Canada,2021-06-07,beta,1811
Alberta,2021-06-07,gamma,2629
British Columbia,2021-06-07,gamma,6797
Manitoba,2021-06-07,gamma,111
New Brunswick,2021-06-07,gamma,1
Newfoundland and Labrador,2021-06-07,gamma,1
Northwest Territories,2021-06-07,gamma,0
Nova Scotia,2021-06-07,gamma,1
Nunavut,2021-06-07,gamma,0
Ontario,2021-06-07,gamma,3740
Prince Edward Island,2021-06-07,gamma,0
Quebec,2021-06-07,gamma,444
Saskatchewan,2021-06-07,gamma,187
Yukon,2021-06-07,gamma,1
Canada,2021-06-07,gamma,13912
Alberta,2021-06-07,delta,154
British Columbia,2021-06-07,delta,765
Manitoba,2021-06-07,delta,18
New Brunswick,2021-06-07,delta,0
Newfoundland and Labrador,2021-06-07,delta,1
Northwest Territories,2021-06-07,delta,0
Nova Scotia,2021-06-07,delta,0
Nunavut,2021-06-07,delta,0
Ontario,2021-06-07,delta,322
Prince Edward Island,2021-06-07,delta,2
Quebec,2021-06-07,delta,28
Saskatchewan,2021-06-07,delta,37
Yukon,2021-06-07,delta,0
Canada,2021-06-07,delta,1327
Alberta,2021-06-14,alpha,44776
British Columbia,2021-06-14,alpha,10118
Manitoba,2021-06-14,alpha,5848
New Brunswick,2021-06-14,alpha,180
Newfoundland and Labrador,2021-06-14,alpha,187
Northwest Territories,2021-06-14,alpha,77
Nova Scotia,2021-06-14,alpha,73
Nunavut,2021-06-14,alpha,21
Ontario,2021-06-14,alpha,139482
Prince Edward Island,2021-06-14,alpha,26
Quebec,2021-06-14,alpha,6789
Saskatchewan,2021-06-14,alpha,5932
Yukon,2021-06-14,alpha,2
Canada,2021-06-14,alpha,213511
Alberta,2021-06-14,beta,156
British Columbia,2021-06-14,beta,135
Manitoba,2021-06-14,beta,45
New Brunswick,2021-06-14,beta,4
Newfoundland and Labrador,2021-06-14,beta,6
Northwest Territories,2021-06-14,beta,0
Nova Scotia,2021-06-14,beta,12
Nunavut,2021-06-14,beta,0
Ontario,2021-06-14,beta,1137
Prince Edward Island,2021-06-14,beta,0
Quebec,2021-06-14,beta,410
Saskatchewan,2021-06-14,beta,10
Yukon,2021-06-14,beta,0
Canada,2021-06-14,beta,1915
